#{"t_start": 1767464148.2993596, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
365.0,2774,2222.050441
395.0,3293,2225.605484
190.0,2153,2227.93367
370.0,3263,2231.488896
155.0,1877,2233.57171
115.0,1605,2235.32671
370.0,2911,2238.462744
180.0,2583,2241.243526
435.0,3393,2244.842668
150.0,1895,2246.878003
405.0,2989,2250.024242
585.0,3415,2253.650952
475.0,3919,2257.802971
105.0,1855,2259.780737
490.0,2617,2262.547827
150.0,2045,2264.727966
495.0,4385,2275.274329
135.0,1855,2277.216596
70.0,1639,2278.949596
165.0,2091,2281.148755
435.0,4119,2285.51429
100.0,1885,2287.505923
170.0,2065,2289.70149
715.0,3747,2293.666349
215.0,2109,2295.900561
115.0,1685,2297.656053
525.0,3987,2301.887781
370.0,2519,2304.513642
110.0,1399,2306.056191
235.0,2047,2308.270299
775.0,4897,2313.459607
485.0,4627,2318.390113
320.0,3113,2321.724262
650.0,4241,2326.197252
185.0,1903,2328.210802
375.0,2147,2330.507097
110.0,1437,2332.039256
505.0,3829,2336.114684
155.0,2017,2338.246501
145.0,1513,2339.833501
345.0,3307,2343.336869
345.0,2371,2345.84451
190.0,1913,2347.879311
385.0,3451,2351.55317
545.0,2799,2354.523996
285.0,2557,2357.204755
200.0,2043,2359.370137
500.0,3853,2363.449924
555.0,4344,2368.172514
575.0,5337,2373.873328
500.0,4227,2378.345649
150.0,1459,2385.581319
465.0,3779,2389.631503
400.0,3397,2393.244997
450.0,3305,2396.763135
335.0,2561,2399.472564
520.0,4159,2403.889489
375.0,2753,2406.796412
405.0,3175,2410.135339
300.0,2401,2412.683593
610.0,3829,2416.730439
545.0,3875,2420.762299
270.0,2471,2423.334409
475.0,3497,2427.323819
320.0,2817,2430.457426
370.0,3321,2434.048628
320.0,2531,2436.750192
365.0,2381,2439.316844
185.0,1941,2441.396744
235.0,2455,2444.002498
570.0,3917,2448.141665
155.0,2025,2450.293546
230.0,2073,2452.468
245.0,1739,2454.307577
225.0,2435,2456.88105
155.0,1591,2458.549651
470.0,3463,2462.226538
715.0,4203,2466.694041
305.0,2455,2469.306557
330.0,2721,2472.208982
200.0,2115,2474.455726
445.0,3601,2478.256305
525.0,3385,2481.802841
225.0,2031,2484.020378
390.0,3221,2487.46677
435.0,4429,2492.179124
615.0,3103,2503.166
670.0,3935,2507.331122
575.0,4021,2511.567465
485.0,4277,2516.066407
715.0,5105,2521.405719
345.0,3083,2524.658031
425.0,3497,2528.351359
255.0,2315,2530.809755
365.0,2853,2533.853609
195.0,1985,2535.945273
620.0,3005,2539.115638
435.0,3167,2542.444261
470.0,3975,2546.635123
520.0,4049,2550.890779
465.0,3007,2554.06851
220.0,2221,2556.448925
220.0,1823,2558.370729
360.0,2271,2560.801038
545.0,3815,2564.806729
450.0,2789,2567.715553
345.0,2605,2570.490577
755.0,3877,2574.564423
300.0,2303,2577.023924
555.0,4968,2582.254124
390.0,2621,2584.97938
215.0,2269,2587.402775
585.0,2925,2590.517733
405.0,2589,2593.252023
160.0,1895,2595.258893
305.0,2461,2597.852623
235.0,2251,2600.243871
520.0,3509,2603.944989
420.0,3081,2607.225476
495.0,3297,2617.347188
350.0,2469,2619.964833
295.0,2557,2622.665401
445.0,3469,2626.344368
405.0,2555,2629.046447
570.0,5032,2634.312685
570.0,4170,2638.694269
410.0,2563,2641.38923
630.0,2861,2644.399889
380.0,2811,2647.39962
350.0,2663,2650.205511
255.0,2825,2653.236294
575.0,4145,2657.567646
575.0,4155,2661.911515
470.0,3753,2665.870151
470.0,3701,2669.772351
75.0,1051,2670.879263
400.0,3215,2674.3135
380.0,3191,2677.725739
245.0,2203,2680.053966
555.0,4991,2685.322075
515.0,3367,2688.870977
85.0,1025,2689.944988
305.0,2535,2692.621722
600.0,4513,2697.387326
540.0,4075,2701.623999
185.0,2193,2703.924418
325.0,2795,2706.905808
350.0,2665,2709.71367
420.0,2903,2712.819289
470.0,3289,2716.27891
720.0,5069,2729.18384
575.0,4757,2734.176951
400.0,3721,2737.902532
570.0,2825,2740.725959
600.0,3447,2744.195375
170.0,1867,2746.021375
375.0,3371,2749.309714
150.0,1935,2751.164501
460.0,5185,2756.180552
415.0,3521,2759.59256
210.0,1925,2761.462608
420.0,2963,2764.321004
610.0,4377,2768.545741
470.0,3765,2772.194095
210.0,2453,2774.580636
515.0,4373,2778.782928
450.0,4291,2782.929264
265.0,2633,2785.535563
315.0,2567,2788.045191
315.0,3111,2791.048006
195.0,1951,2792.953798
500.0,3327,2796.161314
90.0,1903,2797.983482
195.0,2161,2800.066986
425.0,3547,2803.494536
670.0,3471,2806.840355
335.0,2733,2809.48802
185.0,1859,2811.253317
705.0,5349,2816.413176
